ROOT,LEMMA,POS,LEMMA_ARA,DER_CLASS,GLOSS,FUNCTION,PATTERN_ABSTRACT,PARENT_LEMMA,PARENT_POS,PARENT_LEMMA_ARA,PARENT_DER_CLASS,PARENT_GLOSS,PARENT_FUNCTION,PARENT_PATTERN_ABSTRACT
$.T.T,$aT~iy~,ADJ,شَطِّيّ,ATTR_ADJ,littoral,-,1a2o3+iy~,$aT~ap,NOUN,شَطَّة,N_VERB_I,hot_pepper,-,1a2o3+ap
$.T.T,{i$otaT~,VERB,ٱِشْتَطّ,VERB_VIII,be_excessive;go_too_far,INTRANS,{i1ota2a3_INTRANS,$aT~-i,VERB,شَطّ-ِ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS
$.T.T,$aT~-u,VERB,شَطّ-ُ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS,$.T.T,ROOT,,ROOT,,,ROOT
$.T.T,$aTiyTap,NOUN,شَطِيطَة,N_VERB_I,hot_pepper,-,1a2iy3+ap,$aT~-u,VERB,شَطّ-ُ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS
$.T.T,$aT~,NOUN,شَطّ,N_VERB_I,bank;shore,-,1a2o3,$aT~-u,VERB,شَطّ-ُ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS
$.T.T,$aT~iy~,ADJ,شَطِّيّ,ATTR_ADJ,littoral,-,1a2o3+iy~,$aT~,NOUN,شَطّ,N_VERB_I,bank;shore,-,1a2o3
$.T.T,$aTaT,NOUN,شَطَط,N_VERB_I,deviation;excess,-,1a2a3,$aT~-u,VERB,شَطّ-ُ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS
$.T.T,$aT~ap,NOUN,شَطَّة,N_VERB_I,hot_pepper,-,1a2o3+ap,$aT~-u,VERB,شَطّ-ُ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS
$.T.T,$aT~iy~,ADJ,شَطِّيّ,ATTR_ADJ,littoral,-,1a2o3+iy~,$aT~ap,NOUN,شَطَّة,N_VERB_I,hot_pepper,-,1a2o3+ap
$.T.T,{i$otaT~,VERB,ٱِشْتَطّ,VERB_VIII,be_excessive;go_too_far,INTRANS,{i1ota2a3_INTRANS,$aT~-u,VERB,شَطّ-ُ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS
$.T.b,$aTab-u,VERB,شَطَب-ُ,VERB_I,cross_out;efface,trans,1a2a3,$.T.b,ROOT,,ROOT,,,ROOT
$.T.b,$aT~ab,VERB,شَطَّب,VERB_II,cross_out;efface,trans,1a2~a3,$aTab-u,VERB,شَطَب-ُ,VERB_I,cross_out;efface,trans,1a2a3
$.T.b,ta$oTiyb,NOUN,تَشْطِيب,N_VERB_II,completion;finishing_touches;refurbishing,-,ta1o2iy3,$aT~ab,VERB,شَطَّب,VERB_II,cross_out;efface,trans,1a2~a3
$.T.b,$aTob,NOUN,شَطْب,N_VERB_I,cancellation;crossing_out;effacement;robust;tall,-,1a2o3,$aTab-u,VERB,شَطَب-ُ,VERB_I,cross_out;efface,trans,1a2a3
$.T.b,ma$oTuwb,ADJ,مَشْطُوب,DES_ADJ,scratched,-,ma1o2uw3,$aTab-u,VERB,شَطَب-ُ,VERB_I,cross_out;efface,trans,1a2a3
$.T.f,$aTaf-u,VERB,شَطَف-ُ,VERB_I,rinse;wash,trans,1a2a3,$.T.f,ROOT,,ROOT,,,ROOT
$.T.f,$aTof,NOUN,شَطْف,N_VERB_I,rinsing;washing,-,1a2o3,$aTaf-u,VERB,شَطَف-ُ,VERB_I,rinse;wash,trans,1a2a3
$.T.f,$uTofap,NOUN,شُطْفَة,N_VERB_I,chunk;piece,-,1u2o3+ap,$aTaf-u,VERB,شَطَف-ُ,VERB_I,rinse;wash,trans,1a2a3
$.T.n,$aTan-u,VERB,شَطَن-ُ,VERB_I,attach;fasten,#n trans,1a2a3,$.T.n,ROOT,,ROOT,,,ROOT
$.T.n,$aTon,NOUN,شَطْن,N_VERB_I,attaching;fastening;rope,-,1a2o3,$aTan-u,VERB,شَطَن-ُ,VERB_I,attach;fasten,#n trans,1a2a3
$.T.r,$aTar-u,VERB,شَطَر-ُ,VERB_I,bisect;cut_in_half,trans,1a2a3,$.T.r,ROOT,,ROOT,,,ROOT
$.T.r,$aTiyrap,NOUN,شَطِيرَة,N_VERB_I,sandwich,-,1a2iy3+ap,$aTar-u,VERB,شَطَر-ُ,VERB_I,bisect;cut_in_half,trans,1a2a3
